User_ID,Date,Transaction_Amount,Transaction_Type,Savings,Life_Event,Age,Occupation,Location,Month,Transaction_Frequency,Monthly_Spending,Cumulative_Savings,Event_Timeframe
1,2023-01-31,3984.75,Entertainment,0.0,-,45,Student,Chicago,2023-01,1,3984.75,0.0,-371
1,2022-12-31,2997.31,Rent,0.0,-,45,Student,Chicago,2022-12,1,2997.31,0.0,-402
1,2021-04-11,508.87,Entertainment,0.0,-,45,Student,Chicago,2021-04,1,508.87,0.0,-1031
1,2020-03-28,1675.21,Entertainment,0.0,-,45,Student,Chicago,2020-03,1,1675.21,0.0,-1410
1,2023-08-25,4849.85,Savings,0.0,-,45,Student,Chicago,2023-08,1,4849.85,0.0,-165
1,2023-12-08,1069.57,Savings,0.0,-,45,Student,Chicago,2023-12,1,1069.57,0.0,-60
1,2020-10-03,3091.23,Rent,0.0,-,45,Student,Chicago,2020-10,2,6124.969999999999,0.0,-1221
1,2020-01-22,45.26,Groceries,0.0,-,45,Student,Chicago,2020-01,1,45.26,0.0,-1476
1,2021-04-19,3063.15,Rent,0.0,-,45,Student,Chicago,2021-04,1,3063.15,0.0,-1023
1,2024-02-08,4869.04,Entertainment,0.0,-,45,Student,Chicago,2024-02,1,4869.04,0.0,2
1,2023-06-21,2966.15,Entertainment,0.0,-,45,Student,Chicago,2023-06,1,2966.15,0.0,-230
1,2021-10-08,860.92,Rent,0.0,-,45,Student,Chicago,2021-10,1,860.92,0.0,-851
1,2021-01-22,4711.59,Rent,0.0,-,45,Student,Chicago,2021-01,2,8267.8,0.0,-1110
1,2022-02-15,89.67,Rent,0.0,-,45,Student,Chicago,2022-02,1,89.67,0.0,-721
1,2023-09-25,1212.72,Savings,0.0,-,45,Student,Chicago,2023-09,1,1212.72,0.0,-134
1,2024-01-18,3053.88,Entertainment,0.0,-,45,Student,Chicago,2024-01,1,3053.88,0.0,-19
1,2020-07-24,1961.39,Rent,0.0,-,45,Student,Chicago,2020-07,1,1961.39,0.0,-1292
1,2023-11-12,1565.44,Rent,0.0,-,45,Student,Chicago,2023-11,1,1565.44,0.0,-86
1,2021-12-03,4213.0,Savings,0.0,-,45,Student,Chicago,2021-12,1,4213.0,0.0,-795
1,2020-06-10,1981.8,Savings,0.0,-,45,Student,Chicago,2020-06,1,1981.8,0.0,-1336
